asl_id,asl_label,vsl_label,vsl_video_count,vsl_sample_ids,vsl_sample_videos,match_type,confidence,note
285,halloween,lễ Halloween 31/10,3,66;67;69,D0048B.mp4;D0048N.mp4;D0048T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
287,heart,tim,1,3272,W03431.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
288,hour,mấy giờ?,1,2387,W02196.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
289,humble,khiêm tốn,1,2111,W01796.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
292,internet,internet,1,559,D0484.mp4,exact_string,High,manual semantic mapping; review if using for model alignment
294,kill,giết,1,1882,W01479.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
298,milk,sữa,3,3027;3028;4234,W03042B.mp4;W03042T.mp4;W03042N.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
300,month,tháng,3,3098;3099;4257,W03167B.mp4;W03167T.mp4;W03167N.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
302,move,di chuyển,1,3984,W01029.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
307,noon,buổi trưa,3,973;974;975,W00370B.mp4;W00370N.mp4;W00370T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
309,not,không có,1,152,D0112.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
313,patient,bệnh nhân,1,865,W00248.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
316,potato,củ khoai tây,1,1462,W00905.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
317,sad,buồn thảm,1,100,D0064.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
319,save,tiết kiệm,3,3264;3265;3266,W03422B.mp4;W03422N.mp4;W03422T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
327,sorry,xin lỗi,1,3640,W03990.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
330,talk,nói chuyện,1,2648,W02523.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
331,temperature,nhiệt độ,1,1748,W01298.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
334,think,suy nghĩ,2,3012;3013,W03025N.mp4;W03025T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
336,today,ngày nay,3,2495;2496;2497,W02336B.mp4;W02336N.mp4;W02336T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
338,understand,hiểu,3,1964;1965;1966,W01591B.mp4;W01591N.mp4;W01591T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
341,vomit,buồn nôn,1,977,W00372.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
342,vote,bỏ phiếu,1,893,W00293.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
344,west,phương Tây,1,11,D0009.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
345,wet,ẩm ướt,1,698,W00050.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
346,when,bao giờ?,3,784;785;786,W00145B.mp4;W00145N.mp4;W00145T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
350,afternoon,buổi chiều,1,967,W00366.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
356,balloon,bóng bay,1,907,W00308.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
358,bear,con gấu,1,1331,W00761.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
363,bowl,bát,1,799,W00170.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
364,box,hộp,1,2044,W01702.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
366,bread,bánh mì,3,778;779;3842,W00137B.mp4;W00137N.mp4;W00137T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
368,car,ô tô,1,2678,W02561.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
369,chicken,con gà,1,1329,W00759.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
371,choose,chọn lựa,1,1201,W00629.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
372,church,nhà thờ,1,2590,W02450.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
374,cup,cốc,1,3956,W00832.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
375,cut,cắt nhau,1,1035,W00430.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
378,deer,con hươu,1,1335,W00766.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
384,ear,tai,1,3038,W03061.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
387,elephant,con voi,3,1381;1382;1383,W00803B.mp4;W00803N.mp4;W00803T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
388,english,tiếng Anh,3,3256;3257;3258,W03409B.mp4;W03409N.mp4;W03409T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
391,explain,giải thích,1,1832,W01424.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
396,floor,nền nhà,1,2483,W02322.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
397,fly,con ruồi,1,1366,W00786.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
402,hello,chào,1,1086,W00489.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
406,important,quan trọng,1,2838,W02766.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
409,jealous,ghen tị,3,20;21;22,D0019B.mp4;D0019N.mp4;D0019T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
412,large,to lớn,1,3294,W03466.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
414,lemon,quả chanh,1,2795,W02728.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
419,mirror,gương,1,1909,W01523.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
421,monkey,con khỉ,1,1336,W00767.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
422,morning,buổi sáng,3,3882;3883;3885,W00368N.mp4;W00368B.mp4;W00368T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
423,motorcycle,xe máy,1,3618,W03961.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
427,night,buổi tối,3,971;972;3884,W00369B.mp4;W00369T.mp4;W00369N.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
430,pepper,quả ớt,1,2825,W02751.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
431,phone,điện thoại,1,1686,W01208.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
432,picture,bức tranh,3,990;991;992,W00386B.mp4;W00386N.mp4;W00386T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
438,rain,mưa phùn,1,4128,W02282.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
440,research,nghiên cứu,1,4140,W02367.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
441,scared,hoảng sợ,1,1999,W01650.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
442,science,khoa học,1,4079,W01804.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
446,sit,ngồi,3,2555;2556;4148,W02400N.mp4;W02400T.mp4;W02400B.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
448,snake,con rắn,1,1364,W00784.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
449,soap,xà phòng,3,3587;3588;3589,W03930B.mp4;W03930N.mp4;W03930T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
450,soda,7up,1,480,D0408.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
455,stubborn,bướng bỉnh,2,995;996,W00390N.mp4;W00390T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
456,sunset,Mặt trời lặn,1,4117,W02222.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
459,tiger,con cọp,3,1314;1315;1316,W00747B.mp4;W00747N.mp4;W00747T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
461,toilet,nhà vệ sinh,1,560,D0485.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
465,tree,cây xanh,1,1076,W00478.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
466,truck,xe tải,1,3373,W03615.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
467,uncle,chú ( người),1,1105,W00506.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
478,answer,trả lời,1,3335,W03526.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
481,art,nghệ thuật,3,2517;2518;2519,W02357B.mp4;W02357N.mp4;W02357T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
491,big,to lớn,1,3294,W03466.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
497,carrot,củ cà rốt,1,1459,W00901.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
503,cloud,đám mây,1,1596,W01094.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
507,continue,tiếp tục,3,3262;3263;4292,W03421B.mp4;W03421N.mp4;W03421T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
514,desert,sa mạc,1,258,D0191.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
518,doll,búp bê,1,982,W00378.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
523,email,email,1,1786,W01354.mp4,exact_string,High,manual semantic mapping; review if using for model alignment
530,face,mặt,1,2367,W02166.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
533,few,ít,1,2068,W01730.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
543,grammar,ngữ pháp,3,3202;3203;3204,W03327B.mp4;W03327N.mp4;W03327T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
544,grandfather,ông ngoại,3,2686;2687;2688,W02575N.mp4;W02575B.mp4;W02575T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
553,hungry,đói không?,1,446,D0371.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
555,introduce,giới thiệu,1,1888,W01494.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
558,library,phòng thư viện,1,2760,W02680.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
560,lobster,tôm hùm,1,458,D0385.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
561,love,tình yêu,1,3285,W03451.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
569,one,1,1,3814,D0530.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
573,polite,lễ phép,1,2235,W01983.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
579,push,đẩy,1,1637,W01152.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
588,sell,bán hàng,3,740;741;742,W00107B.mp4;W00107N.mp4;W00107T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
589,serious,nghiêm túc,1,2538,W02374.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
592,smart,thông minh,3,3173;3174;4272,W03288N.mp4;W03288T.mp4;W03288B.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
599,squirrel,con sóc,1,1368,W00790.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
603,street,con đường,1,1325,W00757.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
608,summer,mùa hè,3,2453;2454;2455,W02270B.mp4;W02270N.mp4;W02270T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
612,that,kia,1,3732,D0124.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
615,thirsty,khát nước,1,4074,W01774.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
616,ticket,vé,1,3520,W03814.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
623,weak,yếu,3,3679;3680;3681,W04059B.mp4;W04059N.mp4;W04059T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
626,wind,gió Lào,1,1883,W01482.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
637,angry,giận dữ,1,4040,W01465.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
639,arm,cánh tay,1,1015,W00410.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
640,army,quân đội,2,2853;4190,W02784N.mp4;W02784B.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
643,ask,hỏi,3,4064;4065;4066,W01672N.mp4;W01672B.mp4;W01672T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
654,body,cơ thể,1,1443,W00872.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
658,bottle,chai nước,1,1084,W00486.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
666,candle,cây nến,1,514,D0435.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
681,duck,con vịt,1,1380,W00802.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
683,eagle,chim đại bàng,1,1183,W00606.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
686,every,mỗi,1,2418,W02237.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
697,frog,con cóc,1,1313,W00746.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
705,grapes,quả nho,1,2823,W02749.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
708,hamburger,bánh hamburger,1,464,D0391.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
712,horse,con ngựa,3,1353;1354;1355,W00778B.mp4;W00778N.mp4;W00778T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
717,inside,bên trong,1,860,W00241.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
724,listen,lắng nghe,1,2215,W01955.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
729,mom,má (giống: mẹ),1,2323,W02110.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
