dataset,class_name,sample_count
VSL,Long Vương,1
VSL,Lào (nước Lào),3
VSL,Lâm Đồng,1
VSL,Lượm,1
VSL,Lạc Long Quân,1
VSL,Lạng Sơn,1
VSL,Ma Cao,1
VSL,Mexico (nước Mexico),3
VSL,Miến Điện (nước Mi-an-ma),3
VSL,Mã Lai (nước Ma-lai-xi-a),3
VSL,Mặt trời lặn,1
VSL,Mặt trời mọc,1
VSL,Nam bán cầu,1
VSL,Nam Định,1
VSL,Nhật (nước Nhật),3
VSL,Ninh Bình,1
VSL,Ninh Thuận,1
VSL,Oa-sinh-tơn,1
VSL,Pa-ki-xtan (nước Pa-ki-xtan),1
VSL,Paris,1
VSL,Phi-líp-pin (nước Phi-líp-pin),3
VSL,Phú Thọ,1
VSL,Pê-ru (nước Pê-ru),1
VSL,Quy Nhơn,1
VSL,Quảng Bình,1
VSL,Quảng Nam,1
VSL,Quảng Ngãi,1
VSL,Quảng Ninh,1
VSL,Quảng Trị,1
VSL,Quốc Tử Giám,1
VSL,Sapa,1
VSL,Socola,1
VSL,Sóc Trăng,1
VSL,Thanh Hóa,1
VSL,Thái Nguyên,1
VSL,Thánh Gióng,1
VSL,Thăng Long,1
VSL,Thủy Điện Hòa Bình,3
VSL,Thừa Thiên – Huế,3
VSL,Tiền Giang,1
VSL,Trung Quốc (nước Trung Quốc),3
VSL,Trung Thu,3
VSL,Trà Vinh,1
VSL,Trần Quốc Toản,1
VSL,Tuy Hoà,1
VSL,Tây Bắc,1
VSL,Tây Nguyên,1
VSL,Tây Ninh,1
VSL,Tết Dương,2
VSL,Tết Thiếu nhi,1
VSL,Tết Trung thu,3
VSL,Tết hàn thực,3
VSL,Tết Âm,2
VSL,UNICEF,1
VSL,Võ Nguyên Giáp,1
VSL,Võ Thị Sáu,1
VSL,Văn miếu Quốc Tử Giám,1
VSL,Vĩnh Long,1
VSL,Vĩnh Phúc,1
VSL,Y-Éc-Xanh,1
VSL,Yên Bái,1
VSL,a,1
VSL,ai,3
VSL,ai bảo,1
VSL,ai cho,1
VSL,an ninh,1
VSL,anh chị,1
VSL,anh chị em,1
VSL,anh dũng,3
VSL,anh em,3
VSL,"anh hai, anh cả",3
VSL,anh hùng,1
VSL,anh họ,2
VSL,anh ruột,3
VSL,anh rể,3
VSL,anh vợ,1
VSL,ao chuôm,1
VSL,b,1
VSL,ba là,1
VSL,ban giám hiệu,1
VSL,ban ngày,1
VSL,ban đêm,3
VSL,bao giờ?,3
VSL,bao la,1
VSL,bao nhiêu?,1
VSL,bao tay (dùng cho trẻ sơ sinh),1
VSL,bay,1
VSL,bay liệng (bay lượn),1
VSL,bay nhanh (máy bay),1
VSL,biến đổi,1
VSL,biển hiệu,1
VSL,biển đông,1
VSL,biểu thị,1
VSL,biểu thức,1
VSL,biểu đồ,1
VSL,biểu đồ cột,1
VSL,biểu đồ hình quạt,1
VSL,biện pháp,1
VSL,bom nguyên tử,1
VSL,bom đạn,1
VSL,boong tàu,1
VSL,buôn làng,1
VSL,buông màn,3
VSL,buồn nôn,1
VSL,buồn thảm,1
VSL,buồng trứng,1
VSL,buổi chiều,1
VSL,buổi sáng,3
VSL,buổi trưa,3
VSL,buổi tối,3
VSL,buổi đêm,3
VSL,buộc dây,1
VSL,buộc tóc,1
VSL,bài báo,1
VSL,bài thơ,3
VSL,bàn bạc,1
VSL,bàn chân,1
VSL,bàn chải đánh răng,1
VSL,bàn ghế,1
VSL,bàn là,1
VSL,bàn phím (máy vi tính),1
VSL,bàn tay,1
VSL,bàn tán,1
VSL,bán buôn,1
VSL,bán hàng,3
VSL,bán kính (hình tròn),1
VSL,bán đảo,1
VSL,bánh Trung Thu,1
VSL,bánh bột lọc,1
VSL,bánh canh,1
VSL,bánh cuốn,3
VSL,bánh cốm,1
VSL,bánh gai,1
VSL,bánh giò,1
VSL,bánh giầy,1
VSL,bánh gối,1
VSL,bánh hamburger,1
VSL,bánh mì,3
VSL,bánh pizza,1
VSL,bánh pía,1
VSL,bánh sandwich,1
VSL,bánh tráng,1
VSL,bánh xe,1
VSL,bánh đa,1
VSL,bánh đúc,1
VSL,báo (con báo),3
VSL,báo cáo,1
VSL,báo thù,1
VSL,báo động,1
VSL,bát,1
VSL,bát hương,1
VSL,bát ngát,1
VSL,bãi cát,1
VSL,bãi cỏ,1
VSL,bãi tắm,1
VSL,bãi đỗ xe (ô tô),1
VSL,bé gái,1
VSL,bé hơn,1
VSL,bé loắt choắt,1
VSL,bé trai,3
VSL,béo,1
VSL,bê tông,1
VSL,bên cạnh,2
VSL,bên dưới,1
VSL,bên phải,1
VSL,bên trong,1
VSL,bên trái,1
VSL,bên trên,1
VSL,bênh vực,1
VSL,bìa sách,1
VSL,bìa vở,3
VSL,bình an,3
VSL,bình minh,1
VSL,bình phương,1
VSL,bình sữa (em bé),1
VSL,bình thường,3
VSL,bí ngô,1
VSL,bím tóc đuôi sam,1
VSL,bít tất,1
VSL,bít tết (bò),3
VSL,bò,1
VSL,bò sát,1
VSL,bò tót,1
VSL,bó hoa,1
VSL,bó đũa,1
VSL,bóc lột,1
VSL,bóc vỏ,1
VSL,bón phân,3
VSL,bóng bay,1
VSL,bông hoa,3
VSL,bùn,1
VSL,bùng binh,1
VSL,bún chả,1
VSL,bún mắm,1
VSL,bún ngan,1
VSL,bún đậu,1
VSL,bún ốc,1
VSL,búp bê,1
VSL,bút,1
VSL,bút bi,1
VSL,bút dạ,1
VSL,bút màu,3
VSL,bút máy,1
VSL,băng bó,1
VSL,băng chuyền,1
VSL,băng dính,1
VSL,băng giá,1
VSL,băng hình,1
VSL,bơi,1
VSL,bơi lội,1
VSL,bơm (cái bơm),1
VSL,bơm nước,1
VSL,bơm xe,1
VSL,bưu tá,1
VSL,bước,1
VSL,bước chân,1
VSL,bướng bỉnh,2
VSL,bạn,3
VSL,bạn gái,3
VSL,bạn trai,3
VSL,bạn yêu bạn ấy,1
VSL,bạn yêu tôi,1
VSL,bạn ấy yêu bạn,1
VSL,bạn ấy yêu tôi,1
VSL,bản làng,1
VSL,bản lề,1
VSL,bản nhạc,1
VSL,bản sao (chỉ người),1
VSL,bản thân,1
VSL,bản đồ Việt Nam,3
VSL,bảng chia,2
VSL,bảng chỉ dẫn,1
VSL,bảng chữ cái ngón tay,1
VSL,bảng cộng,3
VSL,bảng cửu chương,1
VSL,bảng học sinh,1
VSL,bảng màu,1
VSL,bảng nhân,3
VSL,bảng trừ,3
VSL,bảng đen,3
VSL,bảo hiểm,1
VSL,bảo thủ,1
VSL,bảo tàng,1
VSL,bảo vệ môi trường,3
VSL,bảo đảm,1
VSL,bất hiếu,1
VSL,bất khuất,1
VSL,bất động,1
VSL,bầu trời,1
VSL,bẫy chim,1
VSL,bẫy chuột (dụng cụ),1
VSL,bẫy chuột (hành động),3
VSL,bậc thang,1
VSL,bập bênh,1
VSL,bật lửa,1
VSL,bật đèn,1
VSL,bắc bán cầu,1
VSL,bắc nam,2
VSL,bắn bi,3
VSL,bắn cung tên,1
VSL,bắn súng,1
VSL,bắp ngô,3
VSL,bắt,1
VSL,bắt buộc,1
VSL,bắt giữ,1
VSL,bắt nạt,1
VSL,bắt tay,1
VSL,bắt đền,3
VSL,bằng,1
VSL,bằng phẳng,1
VSL,bẻ ngô,3
VSL,bế em,1
VSL,bến phà,1
VSL,bến tàu,1
VSL,bến xe,1
VSL,bể bơi,1
VSL,bể cá,1
VSL,bệ hạ,2
VSL,bệ xí,1
VSL,bệnh nhân,1
VSL,bệnh phong/cùi,1
VSL,bệnh thủy đậu,1
VSL,bệnh tật,1
VSL,bệnh Đao - Down,1
VSL,bị động,1
VSL,bịa đặt,1
VSL,bọc sách,1
VSL,bọt biển,1
VSL,bọt xà phòng,1
VSL,bỏ hoang,1
VSL,bỏ phiếu,1
VSL,bỏ qua,1
VSL,bỏ rơi,1
VSL,bỏng,1
VSL,bỏng ngô,1
VSL,bố,1
VSL,bố dượng,3
VSL,bố mẹ,1
VSL,bố trí,1
VSL,bốc hơi,1
VSL,bốc thăm,1
VSL,bốc vác,1
VSL,bối rối,1
VSL,bốn là,1
VSL,bốt cảnh sát,3
VSL,bốt điện,3
VSL,bồ kết,1
VSL,bồi bàn,1
VSL,bồi thường,1
VSL,bồn hoa,1
VSL,bồn rửa bát,1
VSL,bổ ngữ,1
VSL,bổ trợ,1
VSL,bổ ích,1
VSL,bộ sách,1
VSL,bộ truyện,1
VSL,bộ đội,3
VSL,bột giặt,1
VSL,bột màu,3
VSL,bột ngọt,2
VSL,bớt,1
VSL,bớt đi,1
VSL,bờ biển,1
VSL,bờ ruộng,1
VSL,bờ rào,1
VSL,bờm tóc,1
VSL,bụi phấn,3
VSL,bụi tre,1
VSL,bụi đời,1
VSL,bụng,1
VSL,bức tranh,3
VSL,bức tường,1
VSL,bữa cơm,1
VSL,bực mình,1
VSL,c,1
VSL,ca,1
VSL,ca nô,1
VSL,cao (người),1
VSL,cao (nhà),1
VSL,cao (núi),1
VSL,cao (vật),1
VSL,cao nguyên,1
VSL,cao quý,1
VSL,cao thấp,1
VSL,cao tầng,1
VSL,cao tốc,1
VSL,cao độ,1
VSL,cau có,1
VSL,cha,1
VSL,cha mẹ,1
VSL,chai,1
VSL,chai nước,1
VSL,chanh muối,1
VSL,chanh nóng,1
VSL,chanh đá,1
VSL,che chở,1
VSL,che phủ,1
VSL,chen lấn,1
VSL,chi hội,1
VSL,chi tiết,1
VSL,chia,3
VSL,chia ba,3
VSL,chia cắt,1
VSL,chia hết,1
VSL,chia phần,1
VSL,chia rẽ,1
VSL,chia sẻ,1
VSL,chia tay,1
VSL,chia đôi,3
VSL,chia đều,1
VSL,chim bồ câu,1
VSL,chim chuyền cành,1
VSL,chim chào mào,1
VSL,chim chích chòe,1
VSL,chim chóc,1
VSL,chim gõ kiến,1
VSL,chim phượng hoàng,1
VSL,chim sâu,1
VSL,chim sơn ca,1
VSL,chim sẻ,1
VSL,chim yến,1
VSL,chim đại bàng,1
VSL,chiên/rán (1)(2),1
VSL,chiêng,1
VSL,chiếc gối,3
VSL,chiếm đoạt,1
VSL,chiến khu,1
VSL,chiến thắng,1
VSL,chiếu,3
VSL,chiếu phim,1
VSL,chiều cao,1
VSL,chiều dài,1
VSL,chiều rộng,1
VSL,chiều tối,1
VSL,chong chóng,1
VSL,chu vi,1
VSL,chui,1
VSL,chum,1
VSL,chung kết,1
VSL,chung tay,1
VSL,chuyên biệt,1
VSL,chuyên cần,1
VSL,chuyên gia,3
VSL,chuyền bóng,1
VSL,chuyển giao,1
VSL,chuyển hướng,1
VSL,chuyển vế,1
VSL,chuyển đồ,1
VSL,chuyển đổi số đo,1
VSL,chuyển động,1
VSL,chuyển động quay,1
VSL,chuyển động đều,1
VSL,chuyện lớn,1
VSL,chuyện nhỏ,1
VSL,chuyện trò,1
VSL,chuông,1
VSL,chuông nhà,1
VSL,chuẩn bị,3
VSL,chuồng,1
VSL,chuỗi hạt,1
VSL,chuột quang,1
VSL,chàng trai,1
VSL,chào,1
VSL,chào cờ,1
VSL,chào mừng,1
VSL,chày,1
VSL,cháo sườn,1
VSL,chát,1
VSL,cháu gái,3
VSL,cháu họ,3
VSL,cháu ngoại,3
VSL,cháu nội,3
VSL,cháu trai,2
VSL,cháy rừng,1
VSL,châm chọc,1
VSL,châm cứu,3
VSL,chân dung,1
VSL,chân tay,1
VSL,chân đất,1
VSL,chè đỗ đỏ,1
VSL,chèn ép,1
VSL,chèo thuyền,1
VSL,chém,1
VSL,chén,1
VSL,chép bài,1
VSL,chìa khóa,1
VSL,chín,1
VSL,chính phủ,2
VSL,chính quyền,1
VSL,chính tả,1
VSL,chính xác,3
VSL,chó cắn,1
VSL,chó sói,1
VSL,chó xù,1
VSL,chõ xôi,1
VSL,chùa,3
VSL,chùa Hương,1
VSL,chùa Một Cột,1
VSL,chùa Yên Tử,1
VSL,chùm hoa,1
VSL,chùm khế,1
VSL,chùm nho,1
VSL,chùm vải,1
VSL,chú ( người),1
VSL,chú hề,1
VSL,chú rể,1
VSL,chú tễu,1
VSL,chú ý,1
VSL,chúc mừng,3
VSL,chúc thọ,3
VSL,chúc tết,3
VSL,chúi đầu,1
VSL,chúng tôi (2 người) (đại từ),1
VSL,chúng tôi (3 người) (đại từ),1
VSL,chúng tôi (4 người) (đại từ),1
VSL,chúng tôi (5 người) (đại từ),1
VSL,chúng tôi (đại từ),1
VSL,chăm học,1
VSL,chăm sóc sức khỏe,3
VSL,chăn (cái chăn),3
VSL,chăn nuôi,3
VSL,chơi,2
VSL,chương trình,1
VSL,chạy,1
VSL,chạy (động vật),1
VSL,chạy bàn,1
VSL,chạy chậm,1
VSL,chạy nhanh,1
VSL,chả cá,3
VSL,chảo,3
VSL,chấm dứt,1
VSL,chấm điểm,1
VSL,chất dẻo,1
VSL,chất hữu cơ,1
VSL,chất lượng,1
VSL,chất lỏng,1
VSL,chất rắn,1
VSL,chất thải,1
VSL,chất đốt,1
VSL,chất độc,1
VSL,chất độc màu da cam,1
VSL,chậm chạp,1
VSL,chật chội,1
VSL,chậu,1
VSL,chặn,1
VSL,chặt,3
VSL,chặt chẽ,1
VSL,chỉ,1
VSL,chỉ dẫn,1
VSL,chỉ huy,1
VSL,chỉ khâu,1
VSL,chỉnh sửa,1
VSL,chị,3
VSL,chị chồng,2
VSL,chị dâu,1
VSL,"chị hai, chị cả",3
VSL,chị họ,3
VSL,chọi gà,1
VSL,chọi trâu,1
VSL,chọn lọc,1
VSL,chọn lựa,1
VSL,chống đối,3
VSL,chồi non,1
VSL,chớp mắt,1
VSL,chợ Bến Thành,1
VSL,chợ nổi,1
VSL,chợ nổi Cái Bè,1
VSL,chợ nổi Cái Răng,1
VSL,chục,1
VSL,chục nghìn,1
VSL,chục triệu,1
VSL,chụp đèn,1
VSL,chụp ảnh,1
VSL,chủ nghĩa xã hội,1
VSL,chủ ngữ,1
VSL,chủ nhiệm,1
VSL,chủ tịch,3
VSL,chủ đề,1
VSL,chủ động,1
VSL,chức năng,1
VSL,chức vụ,1
VSL,chứng cớ,1
VSL,chứng kiến,1
VSL,chứng minh,1
VSL,chứng nhận,1
VSL,chữ,1
VSL,chữ cái,1
VSL,chữ hoa,1
VSL,chữ viết,1
VSL,chữa bài,3
VSL,chữa bệnh,1
VSL,chữa cháy,1
VSL,co dãn,1
VSL,co giật,1
VSL,coi thường,1
VSL,con ba ba,1
VSL,con bê,3
VSL,con bò,3
VSL,con bướm,1
VSL,con chim,1
VSL,con chuồn chuồn,1
VSL,con chuột,3
VSL,con chuột nhắt,1
VSL,con chó,3
VSL,con chồn,1
VSL,con cua,1
VSL,con cá,3
VSL,con cá sấu,1
VSL,con cò,1
VSL,con cóc,1
VSL,con công,1
VSL,con cú mèo,1
VSL,con cọp,3
VSL,con cừu,1
VSL,con dâu,1
VSL,con dê,1
VSL,con dế,1
VSL,con ghẹ,1
VSL,con gián,1
VSL,con gà,1
VSL,con gái,1
VSL,con gấu,1
VSL,con hoẵng,1
VSL,con hàu,1
VSL,con hươu,1
VSL,con khỉ,1
VSL,con kiến,3
VSL,con lươn,1
VSL,con lợn (con heo),3
VSL,con muỗi,3
VSL,con mèo,3
VSL,con mực,1
VSL,con nai,1
VSL,con người,3
VSL,con ngỗng,1
VSL,con ngựa,3
VSL,con nhím,1
VSL,con nuôi,3
VSL,con ong,2
VSL,con quạ,1
VSL,con ruồi,1
VSL,con rùa,1
VSL,con rắn,1
VSL,con rối,1
VSL,con sâu,1
VSL,con sò,1
VSL,con sóc,1
VSL,con sói,1
VSL,con sông,1
VSL,con sư tử,2
VSL,con số,1
VSL,con tem,1
VSL,con thỏ,1
VSL,con trai,1
VSL,con trai (động vật),1
VSL,con trăn,1
VSL,con trỏ,1
VSL,con tôm,3
VSL,con voi,3
VSL,con vượn,1
VSL,con vẹt,1
VSL,con vịt,1
VSL,con đom đóm,1
VSL,con đường,1
VSL,con đẻ,1
VSL,con ếch,3
VSL,con ốc,1
VSL,cong,1
VSL,cua đồng,1
VSL,cung cấp,1
VSL,cung tên,1
VSL,cung điện,3
VSL,cuối năm,1
VSL,cuối tháng,1
VSL,cuối tuần,1
VSL,cuốn,1
VSL,cuống hoa,1
VSL,cuống lá,1
VSL,cuộc sống,1
VSL,cuộc đời,1
VSL,cuộn giấy vệ sinh,1
VSL,cày,1
VSL,cày ruộng,1
VSL,cá kho,3
VSL,cá kiếm,1
VSL,cá mập,1
VSL,cá voi,1
VSL,các bạn,1
VSL,các bạn (2 người),1
VSL,cách ly,1
VSL,cái bè,1
VSL,cái gùi,1
VSL,cái gương,3
VSL,cái neo,1
VSL,cái nhíp,1
VSL,cái túi,1
VSL,cái vợt cá,1
VSL,cánh buồm,1
VSL,cánh tay,1
VSL,cáp treo,1
VSL,cát,1
VSL,câu chuyện,1
VSL,câu cá,1
VSL,câu ghép,1
VSL,câu thơ,3
VSL,câu văn,1
VSL,câu đơn,1
VSL,câu đố,1
VSL,câu đối,1
VSL,cây bàng,2
VSL,cây cọ,1
VSL,cây cối,1
VSL,cây cổ thụ,3
VSL,cây gỗ,1
VSL,cây khế,1
VSL,cây ngô,3
VSL,cây nến,1
VSL,cây phượng,3
VSL,cây sả,1
VSL,cây số,1
VSL,cây thân gỗ,3
VSL,cây thông,1
VSL,cây tre,1
VSL,cây trồng,1
VSL,cây xanh,1
VSL,cây xanh tươi,3
VSL,cây ăn quả,3
VSL,cây đa,1
VSL,cãi nhau,1
VSL,còi,1
VSL,còi xương,1
VSL,còn bạn?,1
VSL,còng,1
VSL,còng (cái còng),1
VSL,có ích,1
VSL,có … không?,1
VSL,cô dâu,1
VSL,cô giáo,3
VSL,cô đơn,1
VSL,côn trùng,1
VSL,công bằng,1
VSL,công chúa,1
VSL,công cộng,1
VSL,công cụ,1
VSL,công nghiệp,3
VSL,công nhận,1
VSL,công sức,1
VSL,công thức,1
VSL,công trường,1
VSL,công tắc,1
VSL,công viên,3
VSL,công việc,1
VSL,công văn,1
VSL,công ước,1
VSL,cõng,1
VSL,cù,1
VSL,cùi chỏ,1
VSL,cùng / với (giới từ),1
VSL,cúc áo,1
VSL,cúi,1
VSL,căm thù,1
VSL,cũng vậy/cũng thế,1
VSL,cơ bắp,1
VSL,cơ hội,3
VSL,cơ quan,1
VSL,cơ sở,1
VSL,cơ thể,1
VSL,cơm,1
VSL,cơm bình dân,3
VSL,cơm hộp,1
VSL,cơm rang,1
VSL,cưa,1
VSL,cưa (cái cưa),1
VSL,cướp,3
VSL,cướp biển,1
VSL,cướp cờ,1
VSL,cướp giật,1
VSL,cười nhếch mép,1
VSL,cười vỡ bụng,1
VSL,cưỡi ngựa,1
VSL,cạnh,1
VSL,cạnh bên (toán),1
VSL,cạnh tranh,1
VSL,cạnh đáy,1
VSL,cạnh đối diện,1
VSL,cả ngày,1
VSL,cảng Hải Phòng,1
VSL,cảng Sài Gòn,1
VSL,cảnh giác,1
VSL,cảnh vật,1
VSL,cấp cứu,1
VSL,cấp dưỡng,1
VSL,cất giấu,1
VSL,cất giữ,1
VSL,cất tiếng khóc,1
VSL,cất tiếng nói,1
VSL,cấy,1
VSL,cấy lúa,1
VSL,cần không?,3
VSL,cần khởi động,1
VSL,cầu (cây cầu),1
VSL,cầu Long Biên,1
VSL,cầu Thê Húc (Hồ Gươm),1
VSL,cầu cứu,1
VSL,cầu giao,1
VSL,cầu kì,1
VSL,cầu nguyện,1
VSL,cầu thang,1
VSL,cầu thủ,1
VSL,cầu tre,1
VSL,cầu trượt,1
VSL,cầu vượt,1
VSL,cắm trại,1
VSL,cắt lông mũi,1
VSL,cắt nhau,1
VSL,cặp sách,1
VSL,cặp tóc,1
VSL,cỏ,3
VSL,cỏ may,1
VSL,cố gắng,3
VSL,cố ý (như cố tình),1
VSL,cố định,1
VSL,cốc,1
VSL,cối giã,1
VSL,cối xay gió,1
VSL,cối xay lúa,1
VSL,cốm,1
VSL,cống,1
VSL,cốp xe,1
VSL,cổ,1
VSL,cổ chân,1
VSL,cổ họng,1
VSL,cổ kính,1
VSL,cổ tay,1
VSL,cổ truyền,1
VSL,cổ tích,1
VSL,cổ vũ,1
VSL,cổ áo,1
VSL,cổ đại,1
VSL,cổng,1
VSL,cổng trường,2
VSL,cỗ,1
VSL,cộng (Toán học),3
VSL,cột,1
VSL,cột nhà,1
VSL,cột sống,1
VSL,cột điện,3
VSL,cột đèn,1
VSL,cờ,1
VSL,cờ ca rô,1
VSL,cờ tướng,1
VSL,cờ vua,1
VSL,cởi mở,1
VSL,cởi áo,1
VSL,cụ,1
VSL,cụ già,1
VSL,cụ thể,1
VSL,cụ đồ,1
VSL,cục tẩy,1
VSL,cụm từ,1
VSL,củ cà rốt,1
VSL,củ cải trắng,1
VSL,củ gừng,1
VSL,củ hành tây,1
VSL,củ khoai lang,1
VSL,củ khoai tây,1
VSL,củ nghệ,1
VSL,củ su hào,1
VSL,củ sả,1
VSL,củ tỏi,1
VSL,củ từ,1
VSL,củ đậu,1
VSL,củi,1
VSL,cứu,1
VSL,cứu hộ,1
VSL,cứu sống,1
VSL,cử chỉ điệu bộ,1
VSL,cử động,1
VSL,cửa hàng,3
VSL,cửa khẩu,1
VSL,cửa kính,1
VSL,cửa sổ,1
VSL,cực khổ,1
VSL,d,1
VSL,da ngăm (nước da ngăm đen),3
VSL,da trắng,3
VSL,dai,1
VSL,danh bạ,1
VSL,danh dự,1
VSL,danh hiệu,1
VSL,danh lam thắng cảnh,1
VSL,danh mục,1
VSL,danh nhân,1
VSL,danh sách,1
VSL,danh từ,1
VSL,danh từ riêng,1
VSL,dao,1
VSL,di chuyển,1
VSL,di truyền,3
VSL,diêm,1
VSL,diều,1
VSL,diễn thuyết,1
VSL,diện tích,1
VSL,diện tích toàn phần,1
VSL,diện tích xung quanh,1
VSL,diệt chủng,1
VSL,doanh nghiệp,1
VSL,doanh trại,1
VSL,du học,1
VSL,du thuyền,1
VSL,dung tích,1
VSL,duy nhất,1
VSL,duyên dáng,1
VSL,duyệt binh,1
VSL,dài,1
VSL,dài hơn,1
VSL,dài hạn,1
VSL,dài nhất,1
VSL,dàn bài,1
VSL,dàn nhạc,1
VSL,dám làm,3
VSL,dán,1
VSL,dân ca,1
VSL,dân chài,1
VSL,dân chủ,1
VSL,dân số,1
VSL,dân tộc,3
VSL,dân tộc Chăm,1
VSL,dân tộc Khơ me,1
VSL,dân tộc Mông,1
VSL,dân tộc Mường,1
VSL,dân tộc Thái,1
VSL,dân tộc thiểu số,3
VSL,dây buộc tóc,1
VSL,dây chun,1
VSL,dây thần kinh,1
VSL,dây thừng,1
VSL,dây xích,1
VSL,dây điện,3
VSL,dãy nhà,1
VSL,dãy núi,1
VSL,dãy núi Hoàng Liên Sơn,1
VSL,dãy số,1
VSL,dãy số liệu,1
VSL,dép quai hậu,3
VSL,dê con,1
VSL,dê mẹ,1
VSL,dòng chữ,1
VSL,dòng họ,1
VSL,dòng sông,1
VSL,dòng sông chảy,1
VSL,dũng cảm,1
VSL,dạy,1
VSL,dải phân cách,1
VSL,dấu bằng,1
VSL,dấu chia,1
VSL,dấu chấm,1
VSL,dấu chấm hỏi,1
VSL,dấu chấm than,1
VSL,dấu gạch ngang,1
VSL,dấu hai chấm,1
VSL,dấu huyền,3
VSL,dấu hỏi,3
VSL,dấu ngoặc đơn,1
VSL,dấu ngã,3
VSL,dấu nhân,1
VSL,dấu nặng,1
VSL,dấu phẩy,1
VSL,dấu sắc,3
VSL,dầu gội đầu,1
VSL,dầu hoả,1
VSL,dầu khí,1
VSL,dầu mỏ,1
VSL,dầu ăn,1
VSL,dẫn chương trình,1
VSL,dẫn chứng,1
VSL,dập,1
VSL,dắt,1
VSL,dặn dò,1
VSL,dẻo,1
VSL,dễ chịu,1
VSL,dễ thương,1
VSL,dệt,1
VSL,dịch vụ,3
VSL,dịu dàng,1
VSL,dọc,1
VSL,dốc,1
VSL,dốt,1
VSL,dỗi,3
VSL,dụng cụ,1
VSL,dừng lại,1
VSL,dự trữ,1
VSL,dự án,1
VSL,dựng phim,1
VSL,e,1
VSL,e thẹn,3
VSL,em dâu,1
VSL,em gái,1
VSL,em họ,3
VSL,em rể,3
VSL,em trai,3
VSL,em út,1
VSL,email,1
VSL,f,1
VSL,g,2
VSL,ga tàu,3
VSL,gai,1
VSL,gan,1
VSL,gan dạ,1
VSL,gan lì,1
VSL,gang tay,1
VSL,ghen tị,3
VSL,ghi chép,1
VSL,ghi chú,1
VSL,ghi hình,1
VSL,ghi nhớ,1
VSL,ghé thăm,1
VSL,ghép hình,1
VSL,giai đoạn,1
VSL,gian dối,1
VSL,gian khổ,1
VSL,gian lận,1
VSL,giao hoán,1
VSL,giao hàng,1
VSL,giao lưu,1
VSL,giao thông,2
VSL,giao thừa,1
VSL,giao tiếp,3
VSL,gieo xúc xắc,1
VSL,giàn khoan,1
VSL,giàn mướp,1
VSL,giàn nho,1
VSL,giàu có,1
VSL,giá sách,1
VSL,giá trị,3
VSL,giá trị phần trăm,3
VSL,giá trị tuyệt đối,1
VSL,giám khảo,1
VSL,giám sát,2
VSL,giám đốc,1
VSL,gián tiếp,3
VSL,giáo dục,1
VSL,giáo sĩ,1
VSL,giã,1
VSL,giãn cách xã hội,1
VSL,gió Lào,1
VSL,giông bão,1
VSL,giúp đỡ,3
VSL,giơ tay,1
